SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41581.0,2.0,3.0,1.0,3.0,5.0,2.0,100.0,0.0,40.0,40.0,64.0,4.0,10.0,3.0,120.0,3.0,3.0
41582.0,2.0,1.0,3.0,3.0,5.0,5.0,1285.0,0.0,0.0,0.0,0.0,2.0,15.0,7.0,120.0,7.0,7.0
41583.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41584.0,2.0,2.0,3.0,2.0,5.0,1.0,60.0,0.0,10.0,20.0,5.0,3.0,5.0,7.0,1.0,3.0,3.0
41585.0,2.0,2.0,2.0,4.0,1.0,4.0,428.0,0.0,200.0,0.0,0.0,2.0,5.0,7.0,120.0,7.0,7.0
41586.0,1.0,1.0,1.0,4.0,1.0,4.0,300.0,0.0,0.0,30.0,20.0,2.0,15.0,4.0,60.0,6.0,4.0
41587.0,2.0,1.0,1.0,3.0,5.0,4.0,200.0,0.0,0.0,30.0,0.0,2.0,20.0,7.0,60.0,7.0,7.0
41588.0,2.0,2.0,2.0,3.0,5.0,1.0,857.0,171.0,0.0,80.0,0.0,2.0,30.0,6.0,60.0,7.0,7.0
41589.0,2.0,1.0,1.0,3.0,1.0,5.0,300.0,50.0,0.0,10.0,0.0,2.0,5.0,7.0,120.0,0.0,nan
41590.0,2.0,1.0,1.0,3.0,5.0,5.0,240.0,70.0,0.0,50.0,20.0,2.0,10.0,7.0,60.0,7.0,7.0
41591.0,2.0,2.0,1.0,1.0,5.0,1.0,300.0,0.0,0.0,150.0,0.0,2.0,5.0,2.0,120.0,6.0,4.0
41592.0,2.0,4.0,4.0,3.0,5.0,1.0,214.0,0.0,0.0,50.0,20.0,2.0,5.0,7.0,45.0,7.0,7.0
41593.0,2.0,1.0,1.0,1.0,5.0,1.0,500.0,100.0,0.0,0.0,60.0,3.0,10.0,2.0,60.0,2.0,2.0
41594.0,1.0,1.0,2.0,1.0,1.0,4.0,450.0,50.0,0.0,171.0,0.0,2.0,2.0,6.0,60.0,666.0,nan
41595.0,2.0,4.0,4.0,1.0,4.0,3.0,150.0,20.0,0.0,150.0,0.0,2.0,15.0,0.0,nan,666.0,nan
41596.0,2.0,1.0,1.0,3.0,3.0,5.0,800.0,0.0,200.0,200.0,0.0,2.0,10.0,7.0,180.0,14.0,14.0
41597.0,2.0,2.0,2.0,3.0,5.0,4.0,400.0,171.0,0.0,0.0,0.0,2.0,10.0,7.0,60.0,3.0,3.0
41598.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41599.0,1.0,1.0,2.0,3.0,3.0,3.0,642.0,0.0,0.0,200.0,0.0,2.0,10.0,4.0,120.0,4.0,4.0
41600.0,1.0,2.0,1.0,2.0,1.0,1.0,300.0,0.0,300.0,75.0,75.0,4.0,10.0,5.0,60.0,5.0,5.0
41601.0,2.0,1.0,3.0,4.0,5.0,3.0,800.0,100.0,0.0,250.0,20.0,3.0,10.0,0.0,nan,1.0,0.0
